id,predicted_price
2591820310,365650.1
7974200820,805086.5
7701450110,1120747.4
9522300010,1822377.8
9510861140,667542.5
1761300310,252026.39
7732410120,760422.5
7010701383,668986.0
291310170,426323.25
4232901990,555912.94
6840701125,679732.94
3971700580,393225.9
4202400078,236634.25
6064800090,382933.2
2626119028,255515.72
3303980660,1039876.3
862000020,713904.0
2386000070,1027634.0
1138000450,369318.0
1775800420,492317.5
2291401425,368984.25
2025770560,826065.56
3525069037,730132.9
9324800450,589083.8
8080400136,479730.7
8651540040,533406.2
9407001790,236866.12
1773101530,184711.95
9432900250,352184.56
1794500695,613248.75
2220069003,362670.38
923000120,557694.5
5728000060,542600.9
16000200,243224.17
1926059094,420349.8
6672900220,984716.3
3629860060,854904.1
1822069109,403961.25
6675500105,370057.7
249000180,1975851.5
226059065,472452.6
396100110,282062.28
9264450460,339306.5
7853361210,382297.56
9474700020,277919.25
421000455,238810.44
3755200220,420497.75
7960100075,501463.94
9477100490,414466.0
9138100350,846615.44
1624049275,484517.06
2770606890,499054.2
1157200189,377836.1
2770601800,499163.2
9301300805,519095.16
2325069032,1114800.2
1021079099,345196.53
7215730040,769963.75
1853200080,467005.78
3224600340,743808.2
3222049120,392085.25
2113700025,294091.34
7893207925,201759.02
3586501085,549288.6
8024200010,366894.3
7116500705,185003.72
1598600209,283758.53
7204200025,913369.94
4206901505,575198.44
2937300440,926824.9
7205000180,302568.9
8718500665,373273.94
5318101765,925485.0
4122700020,930972.5
8078700020,521981.84
3303980680,890769.0
8924100372,1130976.5
2781270210,200004.38
519000043,541842.8
3225069301,1575063.6
151000075,778540.0
2297400020,436122.0
6617500085,605923.3
104510180,234803.94
3528900060,940024.3
3345100286,525979.0
1226039130,484363.2
8712100720,849431.5
3037200010,444423.2
3626039268,432355.6
104510230,237352.98
5112800060,385347.06
6072400280,676818.9
5317100570,1128448.0
9528102993,520102.56
2919201095,472445.84
6181400920,274166.34
185000161,241898.22
8691400010,756080.1
3345700165,526416.56
6151800486,232695.56
4340000080,1346804.4
4136960010,629513.44
3634100030,362911.5
1624059224,1169173.4
2788400090,247447.72
9828200762,446935.12
